date,how to delete facebook account without password and email
2011-01-01,0
2011-02-01,29
2011-03-01,37
2011-04-01,45
2011-05-01,53
2011-06-01,25
2011-07-01,25
2011-08-01,25
2011-09-01,21
2011-10-01,21
2011-11-01,21
2011-12-01,21
2012-01-01,21
2012-02-01,21
2012-03-01,21
2012-04-01,26
2012-05-01,31
2012-06-01,36
2012-07-01,41
2012-08-01,37
2012-09-01,37
2012-10-01,37
2012-11-01,37
2012-12-01,17
2013-01-01,17
2013-02-01,16
2013-03-01,16
2013-04-01,22
2013-05-01,28
2013-06-01,34
2013-07-01,17
2013-08-01,16
2013-09-01,16
2013-10-01,16
2013-11-01,16
2013-12-01,16
2014-01-01,22
2014-02-01,40
2014-03-01,14
2014-04-01,30
2014-05-01,17
2014-06-01,17
2014-07-01,49
2014-08-01,49
2014-09-01,31
2014-10-01,22
2014-11-01,83
2014-12-01,30
2015-01-01,28
2015-02-01,53
2015-03-01,34
2015-04-01,49
2015-05-01,82
2015-06-01,21
2015-07-01,21
2015-08-01,41
2015-09-01,60
2015-10-01,19
2015-11-01,39
2015-12-01,20
2016-01-01,31
2016-02-01,25
2016-03-01,40
2016-04-01,48
2016-05-01,52
2016-06-01,42
2016-07-01,97
2016-08-01,41
2016-09-01,76
2016-10-01,22
2016-11-01,56
2016-12-01,62
2017-01-01,100
