date,instagram password hack no survey
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,5
2012-11-01,5
2012-12-01,5
2013-01-01,5
2013-02-01,5
2013-03-01,5
2013-04-01,5
2013-05-01,7
2013-06-01,9
2013-07-01,11
2013-08-01,13
2013-09-01,5
2013-10-01,21
2013-11-01,15
2013-12-01,20
2014-01-01,24
2014-02-01,34
2014-03-01,15
2014-04-01,23
2014-05-01,15
2014-06-01,26
2014-07-01,22
2014-08-01,29
2014-09-01,20
2014-10-01,46
2014-11-01,43
2014-12-01,45
2015-01-01,90
2015-02-01,74
2015-03-01,63
2015-04-01,66
2015-05-01,60
2015-06-01,78
2015-07-01,67
2015-08-01,70
2015-09-01,56
2015-10-01,47
2015-11-01,81
2015-12-01,71
2016-01-01,81
2016-02-01,57
2016-03-01,73
2016-04-01,63
2016-05-01,44
2016-06-01,75
2016-07-01,100
2016-08-01,80
2016-09-01,63
2016-10-01,68
2016-11-01,65
2016-12-01,79
2017-01-01,75
