date,instagram password hacker
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,4
2012-03-01,4
2012-04-01,4
2012-05-01,4
2012-06-01,4
2012-07-01,5
2012-08-01,7
2012-09-01,9
2012-10-01,13
2012-11-01,5
2012-12-01,5
2013-01-01,4
2013-02-01,21
2013-03-01,9
2013-04-01,19
2013-05-01,19
2013-06-01,16
2013-07-01,28
2013-08-01,36
2013-09-01,26
2013-10-01,16
2013-11-01,31
2013-12-01,25
2014-01-01,41
2014-02-01,38
2014-03-01,45
2014-04-01,60
2014-05-01,52
2014-06-01,78
2014-07-01,75
2014-08-01,84
2014-09-01,75
2014-10-01,74
2014-11-01,82
2014-12-01,81
2015-01-01,82
2015-02-01,50
2015-03-01,55
2015-04-01,48
2015-05-01,69
2015-06-01,69
2015-07-01,75
2015-08-01,60
2015-09-01,82
2015-10-01,71
2015-11-01,52
2015-12-01,73
2016-01-01,89
2016-02-01,73
2016-03-01,65
2016-04-01,78
2016-05-01,51
2016-06-01,76
2016-07-01,79
2016-08-01,90
2016-09-01,75
2016-10-01,88
2016-11-01,100
2016-12-01,93
2017-01-01,95
