date,reset instagram password using facebook
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,0
2012-09-01,15
2012-10-01,29
2012-11-01,14
2012-12-01,14
2013-01-01,22
2013-02-01,29
2013-03-01,38
2013-04-01,22
2013-05-01,21
2013-06-01,39
2013-07-01,50
2013-08-01,21
2013-09-01,37
2013-10-01,39
2013-11-01,68
2013-12-01,32
2014-01-01,41
2014-02-01,32
2014-03-01,47
2014-04-01,49
2014-05-01,19
2014-06-01,34
2014-07-01,41
2014-08-01,54
2014-09-01,18
2014-10-01,26
2014-11-01,46
2014-12-01,42
2015-01-01,21
2015-02-01,27
2015-03-01,21
2015-04-01,25
2015-05-01,31
2015-06-01,50
2015-07-01,52
2015-08-01,31
2015-09-01,27
2015-10-01,15
2015-11-01,13
2015-12-01,40
2016-01-01,48
2016-02-01,44
2016-03-01,32
2016-04-01,43
2016-05-01,30
2016-06-01,37
2016-07-01,28
2016-08-01,51
2016-09-01,42
2016-10-01,66
2016-11-01,55
2016-12-01,100
2017-01-01,79
