date,how to figure out someones instagram password
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,21
2012-04-01,21
2012-05-01,20
2012-06-01,20
2012-07-01,20
2012-08-01,20
2012-09-01,20
2012-10-01,18
2012-11-01,18
2012-12-01,19
2013-01-01,34
2013-02-01,46
2013-03-01,49
2013-04-01,39
2013-05-01,38
2013-06-01,34
2013-07-01,60
2013-08-01,54
2013-09-01,32
2013-10-01,30
2013-11-01,46
2013-12-01,31
2014-01-01,43
2014-02-01,31
2014-03-01,38
2014-04-01,64
2014-05-01,79
2014-06-01,60
2014-07-01,64
2014-08-01,48
2014-09-01,51
2014-10-01,63
2014-11-01,35
2014-12-01,44
2015-01-01,83
2015-02-01,69
2015-03-01,45
2015-04-01,65
2015-05-01,50
2015-06-01,87
2015-07-01,100
2015-08-01,81
2015-09-01,57
2015-10-01,75
2015-11-01,72
2015-12-01,100
2016-01-01,82
2016-02-01,61
2016-03-01,69
2016-04-01,91
2016-05-01,69
2016-06-01,79
2016-07-01,92
2016-08-01,43
2016-09-01,85
2016-10-01,88
2016-11-01,70
2016-12-01,82
2017-01-01,73
