date,forgot instagram password,how to delete a twitter account
2011-01-01,0,8
2011-02-01,0,10
2011-03-01,0,14
2011-04-01,0,10
2011-05-01,1,16
2011-06-01,1,16
2011-07-01,1,25
2011-08-01,1,20
2011-09-01,1,18
2011-10-01,1,23
2011-11-01,1,28
2011-12-01,2,28
2012-01-01,2,32
2012-02-01,3,29
2012-03-01,5,31
2012-04-01,13,35
2012-05-01,12,31
2012-06-01,44,38
2012-07-01,29,37
2012-08-01,27,52
2012-09-01,29,46
2012-10-01,20,43
2012-11-01,21,41
2012-12-01,33,43
2013-01-01,30,54
2013-02-01,26,59
2013-03-01,29,44
2013-04-01,33,40
2013-05-01,25,46
2013-06-01,37,48
2013-07-01,41,47
2013-08-01,43,44
2013-09-01,36,43
2013-10-01,38,41
2013-11-01,37,40
2013-12-01,38,41
2014-01-01,34,54
2014-02-01,35,59
2014-03-01,35,53
2014-04-01,42,49
2014-05-01,35,44
2014-06-01,37,53
2014-07-01,46,59
2014-08-01,48,55
2014-09-01,46,51
2014-10-01,47,55
2014-11-01,55,50
2014-12-01,60,56
2015-01-01,61,66
2015-02-01,38,53
2015-03-01,41,50
2015-04-01,39,51
2015-05-01,36,58
2015-06-01,44,80
2015-07-01,61,58
2015-08-01,44,52
2015-09-01,46,52
2015-10-01,40,59
2015-11-01,47,57
2015-12-01,53,56
2016-01-01,52,57
2016-02-01,50,43
2016-03-01,57,48
2016-04-01,64,49
2016-05-01,62,52
2016-06-01,73,49
2016-07-01,84,54
2016-08-01,83,54
2016-09-01,72,49
2016-10-01,84,46
2016-11-01,95,46
2016-12-01,100,47
2017-01-01,100,57
