date,facebook account settings wrong password
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,0
2011-12-01,0
2012-01-01,0
2012-02-01,0
2012-03-01,0
2012-04-01,0
2012-05-01,0
2012-06-01,0
2012-07-01,0
2012-08-01,60
2012-09-01,54
2012-10-01,54
2012-11-01,54
2012-12-01,55
2013-01-01,49
2013-02-01,49
2013-03-01,49
2013-04-01,49
2013-05-01,49
2013-06-01,49
2013-07-01,49
2013-08-01,46
2013-09-01,46
2013-10-01,46
2013-11-01,46
2013-12-01,46
2014-01-01,0
2014-02-01,0
2014-03-01,0
2014-04-01,0
2014-05-01,0
2014-06-01,0
2014-07-01,0
2014-08-01,0
2014-09-01,46
2014-10-01,45
2014-11-01,45
2014-12-01,44
2015-01-01,44
2015-02-01,44
2015-03-01,40
2015-04-01,40
2015-05-01,40
2015-06-01,41
2015-07-01,40
2015-08-01,40
2015-09-01,38
2015-10-01,38
2015-11-01,38
2015-12-01,39
2016-01-01,35
2016-02-01,35
2016-03-01,35
2016-04-01,35
2016-05-01,69
2016-06-01,66
2016-07-01,66
2016-08-01,66
2016-09-01,66
2016-10-01,66
2016-11-01,83
2016-12-01,100
2017-01-01,0
