date,get whatsapp password
2011-01-01,7
2011-02-01,7
2011-03-01,11
2011-04-01,14
2011-05-01,7
2011-06-01,7
2011-07-01,7
2011-08-01,6
2011-09-01,6
2011-10-01,9
2011-11-01,15
2011-12-01,12
2012-01-01,5
2012-02-01,11
2012-03-01,7
2012-04-01,7
2012-05-01,10
2012-06-01,16
2012-07-01,10
2012-08-01,17
2012-09-01,19
2012-10-01,12
2012-11-01,14
2012-12-01,19
2013-01-01,25
2013-02-01,24
2013-03-01,21
2013-04-01,18
2013-05-01,35
2013-06-01,24
2013-07-01,31
2013-08-01,29
2013-09-01,55
2013-10-01,46
2013-11-01,34
2013-12-01,58
2014-01-01,51
2014-02-01,39
2014-03-01,53
2014-04-01,42
2014-05-01,52
2014-06-01,56
2014-07-01,56
2014-08-01,60
2014-09-01,77
2014-10-01,48
2014-11-01,65
2014-12-01,80
2015-01-01,60
2015-02-01,64
2015-03-01,87
2015-04-01,72
2015-05-01,56
2015-06-01,53
2015-07-01,92
2015-08-01,93
2015-09-01,87
2015-10-01,84
2015-11-01,77
2015-12-01,72
2016-01-01,89
2016-02-01,70
2016-03-01,85
2016-04-01,100
2016-05-01,74
2016-06-01,69
2016-07-01,80
2016-08-01,86
2016-09-01,82
2016-10-01,85
2016-11-01,82
2016-12-01,64
2017-01-01,79
