Date,anonymous web proxy,unblock web proxy
2011-01-01,15.0,10.0
2011-02-01,12.0,10.0
2011-03-01,13.0,2.0
2011-04-01,8.0,4.0
2011-05-01,22.0,9.0
2011-06-01,13.0,6.0
2011-07-01,17.0,6.0
2011-08-01,20.0,2.0
2011-09-01,7.0,2.0
2011-10-01,12.0,2.0
2011-11-01,10.0,5.0
2011-12-01,11.0,2.0
2012-01-01,10.0,6.0
2012-02-01,9.0,3.0
2012-03-01,15.0,1.0
2012-04-01,8.0,8.0
2012-05-01,10.0,3.0
2012-06-01,11.0,2.0
2012-07-01,12.0,1.0
2012-08-01,6.0,6.0
2012-09-01,7.0,6.0
2012-10-01,12.0,8.0
2012-11-01,8.0,4.0
2012-12-01,9.0,4.0
2013-01-01,16.0,1.0
2013-02-01,12.0,9.0
2013-03-01,7.0,8.0
2013-04-01,5.0,6.0
2013-05-01,9.0,2.0
2013-06-01,4.0,6.0
2013-07-01,5.0,1.0
2013-08-01,2.0,1.0
2013-09-01,5.0,4.0
2013-10-01,7.0,7.0
2013-11-01,7.0,5.0
2013-12-01,6.0,7.0
2014-01-01,3.0,7.0
2014-02-01,5.0,10.0
2014-03-01,6.0,8.0
2014-04-01,9.0,7.0
2014-05-01,5.0,5.0
2014-06-01,6.0,3.0
2014-07-01,7.0,8.0
2014-08-01,7.0,4.0
2014-09-01,5.0,5.0
2014-10-01,1.0,9.0
2014-11-01,17.0,7.0
2014-12-01,10.0,6.0
2015-01-01,4.0,9.0
2015-02-01,5.0,7.0
2015-03-01,2.0,6.0
2015-04-01,3.0,4.0
2015-05-01,4.0,7.0
2015-06-01,7.0,3.0
2015-07-01,3.0,5.0
2015-08-01,8.0,7.0
2015-09-01,6.0,14.0
2015-10-01,10.0,44.0
2015-11-01,5.0,100.0
2015-12-01,4.0,22.0
2016-01-01,2.0,20.0
2016-02-01,2.0,7.0
2016-03-01,6.0,9.0
2016-04-01,7.0,5.0
2016-05-01,12.0,13.0
2016-06-01,4.0,1.0
