date,web and app activity,search without history
2011-01-01,0,10
2011-02-01,0,6
2011-03-01,1,4
2011-04-01,1,5
2011-05-01,1,5
2011-06-01,1,6
2011-07-01,1,8
2011-08-01,1,4
2011-09-01,1,9
2011-10-01,1,5
2011-11-01,1,7
2011-12-01,1,3
2012-01-01,1,7
2012-02-01,1,10
2012-03-01,1,8
2012-04-01,1,11
2012-05-01,1,8
2012-06-01,1,10
2012-07-01,1,8
2012-08-01,1,9
2012-09-01,1,9
2012-10-01,1,10
2012-11-01,1,7
2012-12-01,1,7
2013-01-01,1,10
2013-02-01,1,9
2013-03-01,1,9
2013-04-01,1,8
2013-05-01,1,6
2013-06-01,1,10
2013-07-01,1,7
2013-08-01,1,13
2013-09-01,1,11
2013-10-01,1,10
2013-11-01,1,10
2013-12-01,1,9
2014-01-01,1,12
2014-02-01,1,11
2014-03-01,1,9
2014-04-01,1,10
2014-05-01,1,9
2014-06-01,1,11
2014-07-01,1,9
2014-08-01,1,8
2014-09-01,2,12
2014-10-01,1,16
2014-11-01,2,9
2014-12-01,3,13
2015-01-01,4,14
2015-02-01,5,8
2015-03-01,8,12
2015-04-01,83,12
2015-05-01,32,10
2015-06-01,24,11
2015-07-01,25,12
2015-08-01,29,11
2015-09-01,31,12
2015-10-01,40,12
2015-11-01,35,13
2015-12-01,39,13
2016-01-01,56,14
2016-02-01,68,16
2016-03-01,70,14
2016-04-01,64,14
2016-05-01,81,12
2016-06-01,100,15
2016-07-01,65,12
2016-08-01,50,17
2016-09-01,35,13
2016-10-01,38,12
2016-11-01,39,13
2016-12-01,33,12
2017-01-01,28,16
