date,facebook policies,facebook app privacy policy
2011-01-01,92,1
2011-02-01,93,2
2011-03-01,90,4
2011-04-01,83,3
2011-05-01,86,3
2011-06-01,68,4
2011-07-01,60,8
2011-08-01,65,4
2011-09-01,83,3
2011-10-01,81,1
2011-11-01,84,1
2011-12-01,53,3
2012-01-01,77,2
2012-02-01,84,4
2012-03-01,97,4
2012-04-01,84,13
2012-05-01,76,4
2012-06-01,61,2
2012-07-01,71,5
2012-08-01,65,3
2012-09-01,72,3
2012-10-01,91,4
2012-11-01,100,6
2012-12-01,71,5
2013-01-01,80,5
2013-02-01,80,8
2013-03-01,84,4
2013-04-01,85,3
2013-05-01,76,4
2013-06-01,61,3
2013-07-01,54,4
2013-08-01,62,4
2013-09-01,81,3
2013-10-01,68,3
2013-11-01,79,3
2013-12-01,52,4
2014-01-01,62,3
2014-02-01,68,5
2014-03-01,79,3
2014-04-01,71,3
2014-05-01,83,4
2014-06-01,60,6
2014-07-01,58,5
2014-08-01,65,9
2014-09-01,65,7
2014-10-01,71,5
2014-11-01,88,3
2014-12-01,71,3
2015-01-01,74,5
2015-02-01,63,4
2015-03-01,66,5
2015-04-01,70,3
2015-05-01,83,3
2015-06-01,48,4
2015-07-01,37,4
2015-08-01,42,4
2015-09-01,63,5
2015-10-01,61,4
2015-11-01,53,3
2015-12-01,47,4
2016-01-01,46,2
2016-02-01,56,2
2016-03-01,62,3
2016-04-01,57,4
2016-05-01,53,4
2016-06-01,60,3
2016-07-01,54,5
2016-08-01,51,5
2016-09-01,49,2
2016-10-01,57,4
2016-11-01,75,2
2016-12-01,43,4
2017-01-01,52,6
