date,Facebook app privacy,facebook app privacy policy
2011-01-01,5,1
2011-02-01,5,1
2011-03-01,6,2
2011-04-01,5,2
2011-05-01,7,2
2011-06-01,4,2
2011-07-01,8,4
2011-08-01,8,2
2011-09-01,10,1
2011-10-01,7,1
2011-11-01,6,1
2011-12-01,9,1
2012-01-01,10,1
2012-02-01,9,2
2012-03-01,9,2
2012-04-01,13,6
2012-05-01,8,2
2012-06-01,8,1
2012-07-01,10,2
2012-08-01,9,1
2012-09-01,24,2
2012-10-01,22,2
2012-11-01,13,3
2012-12-01,14,2
2013-01-01,13,2
2013-02-01,30,4
2013-03-01,49,2
2013-04-01,12,1
2013-05-01,22,2
2013-06-01,15,1
2013-07-01,40,2
2013-08-01,11,2
2013-09-01,21,1
2013-10-01,27,2
2013-11-01,12,1
2013-12-01,12,2
2014-01-01,10,2
2014-02-01,12,2
2014-03-01,10,1
2014-04-01,8,2
2014-05-01,14,2
2014-06-01,12,3
2014-07-01,12,2
2014-08-01,100,4
2014-09-01,39,3
2014-10-01,32,2
2014-11-01,27,1
2014-12-01,24,2
2015-01-01,19,2
2015-02-01,13,2
2015-03-01,11,2
2015-04-01,10,1
2015-05-01,8,1
2015-06-01,10,2
2015-07-01,11,2
2015-08-01,10,2
2015-09-01,12,2
2015-10-01,10,2
2015-11-01,9,1
2015-12-01,9,2
2016-01-01,8,1
2016-02-01,9,1
2016-03-01,8,2
2016-04-01,8,2
2016-05-01,9,2
2016-06-01,13,1
2016-07-01,12,2
2016-08-01,11,2
2016-09-01,11,1
2016-10-01,11,2
2016-11-01,10,1
2016-12-01,11,2
2017-01-01,11,3
