date,phishing facebook password,how to protect against phishing
2011-01-01,41,3
2011-02-01,61,6
2011-03-01,56,3
2011-04-01,50,3
2011-05-01,59,3
2011-06-01,80,6
2011-07-01,89,3
2011-08-01,100,3
2011-09-01,89,3
2011-10-01,73,2
2011-11-01,65,5
2011-12-01,60,2
2012-01-01,80,2
2012-02-01,90,2
2012-03-01,67,2
2012-04-01,74,3
2012-05-01,84,6
2012-06-01,80,2
2012-07-01,50,2
2012-08-01,69,3
2012-09-01,60,3
2012-10-01,59,10
2012-11-01,46,2
2012-12-01,53,2
2013-01-01,51,2
2013-02-01,55,4
2013-03-01,56,4
2013-04-01,58,3
2013-05-01,52,2
2013-06-01,57,3
2013-07-01,48,2
2013-08-01,54,5
2013-09-01,47,9
2013-10-01,43,5
2013-11-01,31,4
2013-12-01,43,2
2014-01-01,44,4
2014-02-01,36,3
2014-03-01,47,5
2014-04-01,43,5
2014-05-01,40,5
2014-06-01,33,4
2014-07-01,34,5
2014-08-01,31,2
2014-09-01,33,3
2014-10-01,25,5
2014-11-01,32,2
2014-12-01,37,3
2015-01-01,28,4
2015-02-01,23,3
2015-03-01,29,4
2015-04-01,28,3
2015-05-01,28,4
2015-06-01,23,4
2015-07-01,24,2
2015-08-01,35,2
2015-09-01,29,3
2015-10-01,20,3
2015-11-01,27,3
2015-12-01,23,3
2016-01-01,25,4
2016-02-01,19,9
2016-03-01,32,5
2016-04-01,28,3
2016-05-01,28,2
2016-06-01,25,1
2016-07-01,27,1
2016-08-01,29,6
2016-09-01,20,4
2016-10-01,24,5
2016-11-01,32,5
2016-12-01,21,1
2017-01-01,29,3
