date,deactivate facebook account temporarily,deactivate my facebook account,delete fb,delete my account,delete my facebook account now,delete my facebook account right now,delete my fb account from mobile,delete my fb account right now,delete your account page,facebook account deactivated or deleted,facebook account delete option,facebook deactivated my account,how do i deactivate my facebook account,how do i delete my facebook account 2015,how do i reactivate my facebook account,how to close facebook account permanently,how to deactivate facebook account in mobile,how to deactivate facebook account permanently,how to deactivate facebook account temporarily,how to deactivate fb account temporarily,how to deactivate messenger account without facebook,how to delete a facebook account,how to delete a facebook profile,how to delete facebook account forever,how to delete facebook account on android,how to delete facebook account permanently immediately video,how to delete facebook account permanently immediately,how to delete facebook account permanently without password and email,how to delete facebook account permanently without waiting 14 days,how to delete facebook account permanently,how to delete facebook account without password and email,how to delete facebook account without password,how to delete facebook page on mobile,how to delete facebook page permanently,how to delete fb account immediately,how to delete fb account permanently and immediately,how to delete fb account permanently from mobile,how to permanently delete facebook account forever,how to permanently delete facebook account immediately,how to permanently delete facebook account in one day,how to reactivate a deleted facebook account,how to reactivate facebook,i want to delete my facebook account now,if i deactivate facebook can i still use messenger,what happens when you deactivate facebook,Row Total
1/1/11,7,20,42,273,1,0,0,0,2,0,1,2,5,0,2,1,0,2,3,0,0,75,7,13,1,0,0,0,0,26,0,1,0,1,0,0,0,1,0,0,1,14,0,0,9,510
2/1/11,5,15,42,262,1,0,0,0,1,0,0,3,4,0,3,1,0,1,2,0,0,62,7,11,0,0,0,0,0,23,0,1,1,2,0,0,0,0,0,0,0,14,0,0,8,469
3/1/11,6,14,48,234,1,0,0,0,1,0,0,3,4,0,2,1,0,1,3,0,0,57,7,13,0,0,1,0,0,23,0,1,0,1,0,0,0,1,1,0,0,14,0,0,7,444
4/1/11,5,18,53,250,1,0,0,0,2,0,0,5,5,0,1,1,0,3,3,0,0,51,9,14,1,0,1,0,0,26,0,1,0,1,0,0,0,1,1,0,0,13,0,0,5,471
5/1/11,6,18,50,262,1,0,0,0,3,0,1,4,4,0,2,1,0,2,3,0,0,60,8,13,1,0,1,0,0,35,0,1,0,1,0,0,0,2,0,0,0,14,0,0,8,501
6/1/11,8,18,53,300,1,0,0,0,2,0,1,5,5,0,3,2,0,3,4,0,0,61,7,16,0,0,1,0,0,35,0,1,1,1,0,0,0,1,1,0,0,19,1,0,9,559
7/1/11,8,23,62,306,1,0,0,0,3,0,0,5,7,0,1,2,0,3,5,0,0,73,9,19,1,0,1,0,0,35,0,2,1,2,0,0,0,2,2,0,0,18,0,0,10,601
8/1/11,18,44,70,339,1,0,0,0,2,0,1,6,18,0,2,2,0,7,8,0,0,84,10,28,0,0,2,0,0,42,0,2,1,2,0,0,0,2,2,0,0,20,0,0,7,720
9/1/11,14,37,70,323,2,0,0,0,2,0,1,4,14,0,2,1,1,3,8,0,0,80,8,14,1,0,3,0,0,35,0,2,0,2,0,0,0,2,2,0,0,21,0,0,7,659
10/1/11,8,31,70,328,2,0,0,0,2,0,2,3,12,0,2,2,1,4,4,0,0,85,9,6,1,0,3,0,0,37,0,2,1,1,0,0,0,2,3,0,0,21,0,0,6,648
11/1/11,5,35,73,345,1,0,0,0,2,0,1,3,14,0,2,2,1,3,3,0,0,100,9,4,1,0,3,0,0,29,0,2,0,1,0,0,0,0,3,0,1,18,0,0,7,668
12/1/11,7,34,84,362,2,0,0,0,3,0,2,4,14,0,2,2,1,5,5,0,0,91,8,5,2,0,8,0,0,38,0,3,0,1,0,0,0,1,8,0,0,17,0,0,7,716
1/1/12,8,37,89,384,1,0,0,0,3,0,1,4,13,0,2,2,1,6,4,1,0,95,9,8,2,0,7,0,0,40,0,2,0,2,0,0,0,1,8,0,1,22,0,0,8,761
2/1/12,7,33,84,350,1,0,0,0,2,0,1,5,11,0,3,1,1,3,4,0,0,94,15,6,2,0,7,0,0,44,0,2,1,1,0,0,0,1,6,0,0,19,0,0,5,709
3/1/12,5,32,84,339,1,0,0,0,2,0,1,4,12,0,2,2,0,5,4,0,0,91,19,10,2,0,4,0,0,46,0,2,0,1,0,0,0,1,4,0,0,18,1,0,6,698
4/1/12,5,35,95,339,1,0,0,0,2,0,0,4,15,0,3,3,0,5,4,0,0,65,19,8,1,0,1,0,0,44,0,2,1,1,0,0,0,1,1,0,0,19,0,0,6,680
5/1/12,6,34,87,339,1,0,0,0,3,0,0,5,11,0,2,3,0,6,5,1,0,62,14,7,1,0,1,0,0,47,0,2,1,1,0,0,0,1,2,0,0,19,0,0,5,666
6/1/12,7,37,98,356,2,0,0,0,2,0,0,7,14,0,2,3,1,6,4,1,0,72,16,5,1,0,2,0,0,42,0,2,0,1,0,0,0,1,2,0,0,19,0,0,5,708
7/1/12,6,37,98,384,1,0,0,0,3,0,1,7,11,0,2,3,0,6,3,0,0,92,17,6,1,0,1,0,0,46,0,2,1,3,0,0,0,2,1,0,0,17,1,0,6,758
8/1/12,6,32,109,389,2,0,0,0,3,0,1,7,6,0,1,3,1,9,4,1,0,87,16,5,2,0,2,0,0,41,0,3,1,3,0,0,0,1,1,0,0,20,0,0,5,761
9/1/12,8,33,123,367,1,0,0,0,3,0,1,6,8,0,2,3,0,6,4,1,0,74,13,3,1,0,1,0,0,38,0,2,1,2,0,0,0,0,1,0,1,18,0,0,5,726
10/1/12,6,37,123,356,2,0,0,0,3,0,0,5,13,0,1,2,0,6,4,1,0,60,8,5,1,0,1,0,0,36,0,2,1,2,0,0,0,1,1,0,0,17,1,0,5,700
11/1/12,6,32,112,345,1,0,0,0,2,0,0,5,10,0,1,2,1,5,3,0,0,74,8,4,1,0,2,0,0,35,0,2,0,2,0,0,0,1,2,0,0,14,0,0,5,675
12/1/12,8,29,128,389,1,0,0,0,2,0,0,5,6,0,2,4,0,6,5,1,0,79,7,7,1,0,3,0,0,39,0,2,1,3,0,0,0,1,3,0,0,14,0,0,5,751
1/1/13,5,29,123,400,2,0,0,0,3,0,0,6,6,0,2,2,1,6,3,0,0,71,7,2,1,0,1,0,0,35,0,2,0,2,0,0,0,1,1,0,0,14,0,0,6,731
2/1/13,7,38,120,406,2,0,0,0,3,0,0,5,14,0,1,2,0,4,4,0,0,65,6,2,1,0,2,0,0,35,0,2,1,2,0,0,0,0,2,0,0,13,1,0,5,743
3/1/13,7,32,120,395,1,0,0,0,4,0,0,6,10,0,1,2,1,6,4,1,0,70,7,3,1,0,2,0,0,33,0,2,0,3,0,0,0,1,2,0,0,13,0,0,4,731
4/1/13,7,27,123,373,2,0,0,0,3,0,1,6,5,0,1,2,0,6,5,1,0,73,6,4,1,0,2,0,0,35,0,2,1,3,0,0,0,1,2,0,0,12,0,0,5,709
