date,whatsapp password download,how to encrypt whatsapp messages
2011-01-01,3,0
2011-02-01,4,0
2011-03-01,5,0
2011-04-01,6,0
2011-05-01,3,0
2011-06-01,4,0
2011-07-01,4,0
2011-08-01,7,0
2011-09-01,3,0
2011-10-01,4,0
2011-11-01,7,0
2011-12-01,9,0
2012-01-01,7,0
2012-02-01,10,0
2012-03-01,14,0
2012-04-01,10,0
2012-05-01,12,0
2012-06-01,13,0
2012-07-01,18,2
2012-08-01,23,2
2012-09-01,20,2
2012-10-01,25,0
2012-11-01,22,0
2012-12-01,33,0
2013-01-01,43,0
2013-02-01,28,0
2013-03-01,40,0
2013-04-01,44,0
2013-05-01,44,0
2013-06-01,39,2
2013-07-01,58,2
2013-08-01,50,2
2013-09-01,73,2
2013-10-01,71,2
2013-11-01,67,2
2013-12-01,78,2
2014-01-01,73,2
2014-02-01,81,2
2014-03-01,81,2
2014-04-01,73,2
2014-05-01,85,3
2014-06-01,80,2
2014-07-01,68,2
2014-08-01,82,3
2014-09-01,86,3
2014-10-01,77,2
2014-11-01,91,2
2014-12-01,76,2
2015-01-01,92,1
2015-02-01,92,3
2015-03-01,99,2
2015-04-01,92,1
2015-05-01,95,2
2015-06-01,88,2
2015-07-01,98,1
2015-08-01,95,1
2015-09-01,100,1
2015-10-01,86,2
2015-11-01,86,2
2015-12-01,93,2
2016-01-01,87,1
2016-02-01,86,1
2016-03-01,85,2
2016-04-01,73,43
2016-05-01,78,7
2016-06-01,78,7
2016-07-01,82,5
2016-08-01,76,3
2016-09-01,78,3
2016-10-01,74,3
2016-11-01,75,2
2016-12-01,69,5
2017-01-01,65,5
