date,whatsapp password iphone,how to encrypt whatsapp messages
2011-01-01,7,0
2011-02-01,3,0
2011-03-01,8,0
2011-04-01,3,0
2011-05-01,8,0
2011-06-01,8,0
2011-07-01,3,0
2011-08-01,3,0
2011-09-01,6,0
2011-10-01,8,0
2011-11-01,10,0
2011-12-01,9,0
2012-01-01,16,0
2012-02-01,17,0
2012-03-01,11,0
2012-04-01,10,0
2012-05-01,22,0
2012-06-01,14,0
2012-07-01,26,3
2012-08-01,24,2
2012-09-01,39,2
2012-10-01,27,0
2012-11-01,35,0
2012-12-01,31,0
2013-01-01,46,0
2013-02-01,48,0
2013-03-01,35,0
2013-04-01,43,0
2013-05-01,42,0
2013-06-01,52,2
2013-07-01,54,2
2013-08-01,65,2
2013-09-01,60,2
2013-10-01,66,2
2013-11-01,60,2
2013-12-01,68,2
2014-01-01,63,2
2014-02-01,79,2
2014-03-01,62,2
2014-04-01,66,3
2014-05-01,73,4
2014-06-01,61,4
2014-07-01,61,4
2014-08-01,81,4
2014-09-01,81,3
2014-10-01,72,2
2014-11-01,75,2
2014-12-01,95,3
2015-01-01,82,2
2015-02-01,83,2
2015-03-01,89,2
2015-04-01,100,2
2015-05-01,73,2
2015-06-01,74,3
2015-07-01,90,2
2015-08-01,96,2
2015-09-01,80,2
2015-10-01,83,3
2015-11-01,84,3
2015-12-01,76,2
2016-01-01,75,2
2016-02-01,79,2
2016-03-01,79,3
2016-04-01,66,48
2016-05-01,82,8
2016-06-01,80,10
2016-07-01,87,4
2016-08-01,95,4
2016-09-01,82,3
2016-10-01,86,4
2016-11-01,92,3
2016-12-01,92,5
2017-01-01,79,8
