date,get whatsapp password,how to encrypt whatsapp messages
2011-01-01,0,0
2011-02-01,7,0
2011-03-01,6,0
2011-04-01,6,0
2011-05-01,7,0
2011-06-01,7,0
2011-07-01,7,0
2011-08-01,6,0
2011-09-01,6,0
2011-10-01,9,0
2011-11-01,9,0
2011-12-01,6,0
2012-01-01,10,0
2012-02-01,13,0
2012-03-01,15,0
2012-04-01,11,0
2012-05-01,5,0
2012-06-01,5,0
2012-07-01,20,5
2012-08-01,13,5
2012-09-01,20,5
2012-10-01,16,0
2012-11-01,11,0
2012-12-01,28,0
2013-01-01,15,0
2013-02-01,21,0
2013-03-01,14,0
2013-04-01,21,0
2013-05-01,28,0
2013-06-01,40,4
2013-07-01,29,4
2013-08-01,24,4
2013-09-01,40,4
2013-10-01,64,4
2013-11-01,40,4
2013-12-01,53,4
2014-01-01,41,4
2014-02-01,43,4
2014-03-01,57,4
2014-04-01,53,6
2014-05-01,35,8
2014-06-01,49,8
2014-07-01,42,8
2014-08-01,46,8
2014-09-01,80,6
2014-10-01,44,4
2014-11-01,59,4
2014-12-01,71,6
2015-01-01,79,3
2015-02-01,52,3
2015-03-01,83,3
2015-04-01,67,3
2015-05-01,54,3
2015-06-01,53,5
2015-07-01,76,3
2015-08-01,97,3
2015-09-01,98,3
2015-10-01,74,6
2015-11-01,94,7
2015-12-01,74,5
2016-01-01,90,3
2016-02-01,66,3
2016-03-01,58,6
2016-04-01,95,100
2016-05-01,66,18
2016-06-01,67,21
2016-07-01,79,9
2016-08-01,79,7
2016-09-01,80,6
2016-10-01,71,8
2016-11-01,87,7
2016-12-01,71,10
2017-01-01,77,16
