date,whatsapp password hack
2011-01-01,2
2011-02-01,2
2011-03-01,2
2011-04-01,2
2011-05-01,2
2011-06-01,3
2011-07-01,2
2011-08-01,2
2011-09-01,3
2011-10-01,1
2011-11-01,3
2011-12-01,3
2012-01-01,3
2012-02-01,3
2012-03-01,3
2012-04-01,5
2012-05-01,4
2012-06-01,6
2012-07-01,6
2012-08-01,5
2012-09-01,10
2012-10-01,5
2012-11-01,7
2012-12-01,12
2013-01-01,9
2013-02-01,12
2013-03-01,11
2013-04-01,14
2013-05-01,16
2013-06-01,27
2013-07-01,26
2013-08-01,37
2013-09-01,42
2013-10-01,38
2013-11-01,39
2013-12-01,45
2014-01-01,41
2014-02-01,41
2014-03-01,41
2014-04-01,40
2014-05-01,41
2014-06-01,45
2014-07-01,50
2014-08-01,51
2014-09-01,47
2014-10-01,44
2014-11-01,49
2014-12-01,47
2015-01-01,56
2015-02-01,62
2015-03-01,67
2015-04-01,59
2015-05-01,56
2015-06-01,56
2015-07-01,77
2015-08-01,100
2015-09-01,94
2015-10-01,82
2015-11-01,71
2015-12-01,63
2016-01-01,71
2016-02-01,74
2016-03-01,65
2016-04-01,63
2016-05-01,54
2016-06-01,66
2016-07-01,58
2016-08-01,63
2016-09-01,60
2016-10-01,60
2016-11-01,54
2016-12-01,49
2017-01-01,52
