date,whatsapp password download
2011-01-01,3
2011-02-01,4
2011-03-01,4
2011-04-01,3
2011-05-01,4
2011-06-01,3
2011-07-01,5
2011-08-01,5
2011-09-01,4
2011-10-01,4
2011-11-01,9
2011-12-01,7
2012-01-01,8
2012-02-01,10
2012-03-01,7
2012-04-01,6
2012-05-01,13
2012-06-01,19
2012-07-01,14
2012-08-01,12
2012-09-01,18
2012-10-01,24
2012-11-01,21
2012-12-01,29
2013-01-01,34
2013-02-01,31
2013-03-01,35
2013-04-01,40
2013-05-01,39
2013-06-01,43
2013-07-01,43
2013-08-01,49
2013-09-01,67
2013-10-01,69
2013-11-01,71
2013-12-01,67
2014-01-01,68
2014-02-01,55
2014-03-01,68
2014-04-01,71
2014-05-01,74
2014-06-01,72
2014-07-01,63
2014-08-01,75
2014-09-01,74
2014-10-01,71
2014-11-01,86
2014-12-01,79
2015-01-01,74
2015-02-01,77
2015-03-01,99
2015-04-01,91
2015-05-01,93
2015-06-01,87
2015-07-01,95
2015-08-01,84
2015-09-01,100
2015-10-01,82
2015-11-01,76
2015-12-01,84
2016-01-01,77
2016-02-01,84
2016-03-01,80
2016-04-01,62
2016-05-01,72
2016-06-01,67
2016-07-01,65
2016-08-01,69
2016-09-01,75
2016-10-01,73
2016-11-01,69
2016-12-01,72
2017-01-01,64
