date,google account change password,how to delete gmail
2011-01-01,2,43
2011-02-01,2,42
2011-03-01,2,42
2011-04-01,2,44
2011-05-01,2,43
2011-06-01,2,51
2011-07-01,3,58
2011-08-01,3,55
2011-09-01,3,53
2011-10-01,3,54
2011-11-01,3,55
2011-12-01,3,60
2012-01-01,3,59
2012-02-01,4,51
2012-03-01,2,50
2012-04-01,3,53
2012-05-01,4,50
2012-06-01,4,56
2012-07-01,4,61
2012-08-01,5,65
2012-09-01,4,63
2012-10-01,5,56
2012-11-01,4,57
2012-12-01,5,68
2013-01-01,4,67
2013-02-01,5,69
2013-03-01,4,68
2013-04-01,4,72
2013-05-01,5,71
2013-06-01,4,74
2013-07-01,5,80
2013-08-01,5,78
2013-09-01,6,79
2013-10-01,5,78
2013-11-01,5,76
2013-12-01,5,90
2014-01-01,6,94
2014-02-01,7,88
2014-03-01,6,89
2014-04-01,11,89
2014-05-01,6,86
2014-06-01,7,88
2014-07-01,7,95
2014-08-01,8,98
2014-09-01,9,95
2014-10-01,7,90
2014-11-01,7,91
2014-12-01,8,86
2015-01-01,9,86
2015-02-01,9,79
2015-03-01,9,83
2015-04-01,10,83
2015-05-01,11,82
2015-06-01,11,88
2015-07-01,13,90
2015-08-01,13,94
2015-09-01,13,89
2015-10-01,13,84
2015-11-01,13,80
2015-12-01,15,88
2016-01-01,17,92
2016-02-01,17,87
2016-03-01,16,85
2016-04-01,15,84
2016-05-01,17,83
2016-06-01,18,91
2016-07-01,20,95
2016-08-01,23,96
2016-09-01,21,94
2016-10-01,22,90
2016-11-01,23,91
2016-12-01,25,98
2017-01-01,24,100
